id,author_id,parent_id,step,week_number,step_number,text,timestamp,likes,first_reported_at,first_reported_reason,moderation_state,moderated
21904109,d6ded6a2-52fb-4ba2-8d65-a31da005cfdc,,1.4,1,4,"As you well know, just because there is correlation does not mean there is causation.  The information provided gives scant support for the hypotheses and there seems to have been no consideration of the 'fly in the ointment', Canada.  Or is that result merely an aberrant?  I did not see how close it was to being blue  or why it might be different.",2017-05-22 01:08:01 UTC,7,,,,
21905402,c464e0fb-89ae-45df-9581-974a96a065c7,,1.1,1,1,"Hello, I am Ray Hiera. I studied different courses with future learn. For a whole year I want to focus on data science. This course fits with my new focus.",2017-05-22 04:12:50 UTC,4,,,,
21907280,39b94e3b-31a2-4bee-86ad-2d4b49608e52,,1.1,1,1,"Hi, I'm Nawaaz, from Bristol, UK. I'm an aerospace engineer who is looking to move into data analysis, excited to be on this course.",2017-05-22 07:11:15 UTC,1,,,,
21907364,8efb273a-7fa0-412f-8e8e-dde5a494155d,,1.3,1,3,Interesting...,2017-05-22 07:16:31 UTC,1,,,,
21907578,8efb273a-7fa0-412f-8e8e-dde5a494155d,,1.4,1,4,"I asked myself when I use year in my queries to Google. So I have another hypothesis: it is nothing about GDP, but this correlation may be caused by events that happen ones a year or periodically.  In that case, Brazil, Canada, Russia would not look so strange in their groups for certain years. ",2017-05-22 07:31:32 UTC,6,,,,
21907729,39b94e3b-31a2-4bee-86ad-2d4b49608e52,,1.5,1,5,"Just thinking about the current general election campaign in the UK, extracting search data from UK users could provide an indication of the level of interest/support for the different political parties. This may prove to be a useful alternative to the conventional polls/exit polls which have been inaccurate of late as a predictor of the outcome of both the Brexit vote and the US Presidential Elections. It would be interesting to see a breakdown in searches by age group, however I'm not sure as to whether this data is collected or freely shared by Google?",2017-05-22 07:40:59 UTC,11,,,,
21907738,862a4f1f-16fc-4e88-bbea-f5b4ad3f450b,,1.3,1,3,"I agree more with the second leading hypothesis. I come from a country with a really poor internet infrastructure, Cuba. There we used to look up historic events or things that happened in the past. We do not have enough updated information to look up future events. ",2017-05-22 07:41:28 UTC,3,,,,
21907950,862a4f1f-16fc-4e88-bbea-f5b4ad3f450b,21907729,1.5,1,5,"That's one of the example that show us that google  data is not always the most accurate source of information, right? 
",2017-05-22 07:53:29 UTC,0,,,,
21908445,5a06febf-995e-4322-8536-24f7795290bd,,1.3,1,3,"I don't really understand why Canada is red, because they have good infrastructure internet wise and are well-off, maybe they have been quite close to being blue?
",2017-05-22 08:23:50 UTC,4,,,,
21908663,c382b0e6-3ab2-4179-8574-c4fcb5881c16,21907729,1.5,1,5,"If you want to see election prediction based on more than polls - here, Twitter data, see: http://www.dcs.warwick.ac.uk/~acristea/Journals/IS/elections.pdf 
Although the polls were still used - and in fact, where poll results were completely wrong (as in the UK), that messed up the data - see: http://elections.iti.gr/uk2015/",2017-05-22 08:34:55 UTC,2,,,,
