id,author_id,parent_id,step,week_number,step_number,text,timestamp,moderated,likes
8742666,b92b1383-1b67-4936-a2f5-3f6cb0b438cb,,1.4,1,4,"I have always been curious about how the mind thinks to solve problems and I have noticed in my own mind that there are different layers to the way that I think about something. For example; (1) The conscious mind that when asked a question thinks it over to come to a conclusion. (2) The part of the mind that thinks over what the the conscious is thinking wondering if that sounds something reasonable to say in that situation according to your personality, and (3) The part of the mind that is thinking about other unrelated things such as, ""do I look good today?"", ""why are they looking at me like that?"", ""what will I do after this event?"", the part that is assessing the environment. I think there are also more levels to this ""theory"" that I have. After watching this video I am curious how this can relate and fit into the concept of the flat-mind. ",2015-11-09 00:33:38 UTC,,2
8743049,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.2,1,2,"We are fictional characters in stories of our own invention"""" is a striking phrase but doesn't it presuppose a freedom to write not possessed in equal measure by all? Children the very old or the mentally ill are not always free to invent their own story? Sometimes a person's story is one created by others for them?
The surface is all there is? Does this mean you believe a person's actions are all we need consider becasue all else is pointless speculation?
 What is a person's story? Is it how they perceive themselves to be living [autobiography-which you warn is unreliable] or is it how others perceive their actions [biography-fraught with all the usual problems of bias, scant factual information and firnds who either recall them with rose coloured glasses or ennemies who see only the worst in them?]
 ",2015-11-09 01:09:36 UTC,,5
8743085,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.3,1,3,Interesting analogy.If legal precedent is involved who play the role of judges in this conceptual framework?,2015-11-09 01:12:13 UTC,,2
8743209,9406812a-c9ff-4895-9859-351addd738fe,8742666,1.4,1,4,"I feel like these different layers that you're speaking of are like the rainbow he's talking about in the video. All those layers may be there, and may be valid, but it's all basically the same level of observation just from a different perspective.  Do you believe that it's an entirely different part of your mind that's reflecting on and observing the thoughts you have continuously, or is it just an intertwined line of thought observing itself moments later? ",2015-11-09 01:21:31 UTC,,5
8743226,33a0fdf0-4523-47eb-9f85-83604fc06a9c,,1.1,1,1,G'day from Perth Western Australia,2015-11-09 01:22:41 UTC,,1
8743241,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.4,1,4,"re the geography question What if ther person writes I don't know?
Does this mean you have little faith in Freud and psychoanalysis in general? Ditto for neuroscience? 
Normally I would consider depth in relation to the mind to be the capacity for sophisticated reasonning how does that sit with the concept of flatness?",2015-11-09 01:24:10 UTC,,2
8743335,a1a7bff8-9e97-44ee-b613-7d93e3f13570,,1.1,1,1,"Really happy to be doing this course. I just finished a course about mindfulness with Future Learn, which was great. My name is Darren, I'm originally from the UK, but have been living and working in Vietnam for the past 7 years. IIn the past, I have suffered from both depression and a bad panic / anxiety disorder, both of which I overcame WITHOUT MEDS... purely with the mind. Over the past 2 or so years, I've been getting into Buddhism, which is for me, not a religion, but a philosophy, a mind manual, about how to understand how the mind causes us suffering. I'm currently studying some courses with the Institute of Counselling in the UK. My aim, to use the teachings of ancient teachings (Buddhism, Taosim etc) and channel them through counselling theory in order to help people with their problems. Thus why I am particularly interested in this course. Many thanks. Looking forward to getting to know some of the other learners here. ",2015-11-09 01:32:37 UTC,,14
8743337,017d5730-536b-40e7-9214-c847f23c1ae9,,1.2,1,2,"We are fictional characters, in stories of our own invention. A very interesting comment. Reminds me of the all the world's a stage speech. In many ways I do believe we are very often what we think we are. There are many instances of people re-inventing themselves by thinking about what or where they want to be. So to some degree I believe we can invent our own story. Or we can use that story to continue being the way we are. The reason why we accept the story we have invented or decide to change it in some way is what interests me. Why does one person become famous and the person they sat next to in class doesn't? ",2015-11-09 01:33:14 UTC,,6
8743380,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.5,1,5,"I must be a very poor improvisor. If I was asked what I thought in the past I would simply say so For eample being paid $20 would not change my answer If I had found it boring I wouls say so. If I was asked what I thought the restaurant would be like I would say either I think it should be good or I have no idea one way or the other or I have a bad feeling about it . I can't see where room for improvisation arises?
Perhaps I am just not grasping things.",2015-11-09 01:37:05 UTC,,6
8743531,da99df2c-0d40-46ee-bc24-4da06fd86add,,1.2,1,2,I'm intrigued! I can't wait to go further into the course and start questioning this alluring thesis. ,2015-11-09 01:48:52 UTC,,3
