id,author_id,parent_id,step,week_number,step_number,text,timestamp,moderated,likes
4506834,dbb6fce4-c7c0-4c02-b98e-8a9bbb393965,,1.5,1,5,"Sorry if I'm jumping the gun a few hours, but these courses are generally crowded and the comments accrue quickly.  One thought was that there may be telling information regarding what countries are the subject of the searches from other countries.  This is most easily detected by keyword searches, but a little more subtly can be done with the country part of the URL (e.g. ""xx.yy.ru""), and finally using the IP address, which ultimately maps to a specific country, or even city.  Of particular interest might be what is the subject and source country of a search from an originating country.  A very interesting discovery would be if there's any evidence that if country ""A"" most often searches for topics about an ""advanced"" country ""B"" (or C, D, etc) from the first world, if that becomes a leading indicator or precursor to country A's emergence into the first world over time.",2015-04-20 00:54:01 UTC,,19
4506868,a890cb32-a576-41a9-933b-036ffa7bb8ff,,1.1,1,1,"Perhaps you could make the Transcripts so that students can save them digitally, as other providers of Future Learn courses manage to do. Selecting the text or sending the text to Onenote just results in a jumbled mess.  If I suffer the same problem over the next few sections, I personally will just leave the course, as one does not have the time to retype the transcripts.",2015-04-20 00:58:07 UTC,,1
4506919,dbb6fce4-c7c0-4c02-b98e-8a9bbb393965,,1.8,1,8,"I have synchronized my appointments across all my google calendar instances.  That tells me this data is available in the cloud somewhere, and in a privacy-protected form, likely collected and searchable by google analytics.  Perhaps there is information revealed about how ""busy"" people are by how dense their appointment calendars are, how many activities are early and how many are late, how many are local and how many are far away.  Also, sharing of calendars and appointments can reveal something about the network of who is connected to whom, how large the connection networks are, where the people are from etc.   The appointment calendar is an obvious starting place for analyzing human behaviour, at least those humans who plan events on a cloud-based calendar app.",2015-04-20 01:05:41 UTC,,17
4506949,c5e69e9b-e8d2-4b10-83a6-830d2e694e43,,1.5,1,5,"Another interesting information that can be extracted from search is the degree of awareness about sexual information in the puberty. The amount of queries like ""what is menstruation"", ""when my breasts will grow?"", ""hair in the ***"" among other things.

Maybe this data is related to the amount of sex education across the countries.",2015-04-20 01:09:27 UTC,,1
4507012,1c5ff5c5-0948-4d78-acab-9fafc398c310,4506868,1.1,1,1,"Sorry Ian, not sure what you mean by save them digitally.  I've just happily downloaded the pdf file to my laptop for future reference.",2015-04-20 01:17:09 UTC,,3
4507051,a890cb32-a576-41a9-933b-036ffa7bb8ff,4506868,1.1,1,1,"I don't want to print Transcripts or read them as PDF files, I want to be able to highlight them digitally.  If you try to copy the text digitally you get something of a mess, for example Susan's second comment produces the text below.

Now, we’ve put this course together because something’s really changed in the last few
years. Increasingly, we rely on large network systems and smart cards to support our
Ğǀ ĞƌǇĚĂǇ ĂĐƟǀ ŝƟĞƐ͘ E ĞĂƌůǇ Ğǀ ĞƌǇƚŚŝŶŐ ǁ Ğ ĚŽ ŝƐ ŶŽǁ ŐĞŶĞƌĂƟŶŐ ĚĂƚĂ͕ ĨƌŽŵ ďƵǇŝŶŐ ďƌĞĂĚ Ăƚ
the supermarket, from taking a ride on the tube, to just calling your friend on your phone
for a chat. Now, over the next nine weeks, we’re going to talk to you about how people are
ƐƚĂƌƟŶŐ ƚŽ ƵƐĞ ƚŚĞƐĞ ůĂƌŐĞ ŶĞǁ ĚĂƚĂƐĞƚƐ ƚŽ ďĞƩ Ğƌ ŵĞĂƐƵƌĞ ǁ ŚĂƚ ƉĞŽƉůĞ ĂƌĞ ĚŽŝŶŐ ŝŶ ƚŚĞ
world right now and even possibly forecast what they’re going to do in the future.
",2015-04-20 01:21:25 UTC,,2
4507285,c5e69e9b-e8d2-4b10-83a6-830d2e694e43,,1.8,1,8,"I think the discoursive data in digital form very useful to self-understanding. Posts on Facebook and Twitter, when retrospectively inspected, can tell me a lot about my emotional and expressive moments through my life. The data about myself, registered in my daily activities, can bring memories - like the lifelog concept - and resources to ""storify"" the past.

To mental health and self-understanding, is very useful. But it is also useful for projects to understanding social clusters, through intentional share and exchange of personal information between people",2015-04-20 01:52:53 UTC,,7
4507404,5d7623e1-6ac8-406b-9cc3-fb105f36f10c,,1.1,1,1,Interesting. ,2015-04-20 02:06:37 UTC,,1
4507477,6e1325f6-62ea-41e1-9d05-739f759a44b5,,1.5,1,5,"Could the data be used to test Hofstede's cultural dimensions more exactly than previous research with limited sample? Have you done any research relating to this? 
",2015-04-20 02:17:21 UTC,,1
4508275,915e1c41-a88b-4685-bbb0-58a0f7af2865,,1.3,1,3,"woow, super interesting! That makes a lot of sense",2015-04-20 04:07:20 UTC,,1
